title,category,spec,price
Cast Iron Blue Industrial air blower,Axial Flow Fans,"Flow Rate==500 cm3/h,Size==10 Inch,Airflow Capacity==500 m3/h,Power==Electric,Blade Material==Cast Iron,Usage/Application==Industrial",16008
Pp Corrugated Sunpack Sheets,"Floor Protection Sheet,PP Corrugated Sheets","Usage/Application==Used For Packaging Containers,Color==Black,Sizes==4 x 6 Feet (W x L),Thickness Of Sheet==0.45 mm,Country of Origin==Made in India",80
"Gray Polypropylene Floor Protection Bubble Guard Sheet, Size: Large",Floor Protection Sheet,"Pattern==Bubbel,Country of Origin==Made in India,Material==Polypropylene,Color==Gray,Size==Large",3.2
"Stainless Steel Food Cart, Load Capacity: 200 kg",Food Cart,"Load Capacity==200 kg,Material==Stainless Steel",12000
Horizontal Sharp Single Phase Openwell Submersible Pump,"Open Well Submersible Pump,Horizontal Submersible Pump","Motor Phase==Single Phase,Motor Phase/Stage==Single Phase,Motor Power==1hp,Discharge Outlet Size==1 inch,Motor Speed==2880 Rpm,Usage/Application==Open Well Water Pumping,Voltage==220 V,Frequency==50 Hz,Power Source==Electricity,Type==Horizontal,Brand==Sharp",5900
Stainless Steel Red Food Cart On Wheel,Food Cart,"Load Capacity==300 kg,Usage/Application==FOOD VAN MANUAL RESTAURANT CAFE ON WHEELS,Vehicle Model==WHEEL OPERATED MANUAL,Front Suspension==EXCEL,Country of Origin==Made in India,Material==Stainless Steel,Color==Red",65000
Polypropylene Bubble Guard Sheet,"Floor Protection Sheet,Bubble Guard Sheet,Floor Guard","Thickness==2mm,Pattern==Bubbel,Material==Polypropylene",6
2.5 mm Mild Steel Welding Rod,Mild Steel Welding Rod,"Length==200 mm,Brand==D&H,Grade==6010,Packaging Type==Box,Certification==AWS ISO,Size/Diameter==2.5 mm",50
"Aluminum Color Coated Polyurethane Sandwich Panel, For Walls","PUF Sandwich Panel,Polyurethane Sandwich Panel,Sandwich Panels","Material==Aluminum,Usage/Application==Walls,Surface Treatment==Color Coated,Structurally Insulated==Yes,Color==White,Area Of Application==Commercial",135
"Color Coated PUF Sandwich Wall Panel, For Industrial","PUF Sandwich Panel,Sandwich Panels","Color==Blue,Product Type==Puf Sandwich Roofing Panel,Country of Origin==Made in India,Usage/Application==Industrial,Material==PUF,Surface Treatment==Color Coated",135
