SEARCH KEYWORD,MODIFIED KEYWORD,QCR KEYWORD,ATTRIBUTE EXTRACTION FLAG,SOLR EXECUTION,SOLR STATUS,ALFA EXECUTION,ALFA STATUS,MARS EXECUTION,MARS STATUS,MERI EXECUTION,MERI STATUS,CHATGPT EXECUTION,CHATGPT STATUS,ENSEMBLE RUN,SOLR_INFO,ALFA_INFO,MARS_INFO,MERI_INFO,CHATGPT_INFO,ID 1,NAME 1,MCAT_ACCURACY_LEVEL 1,ID 2,NAME 2,MCAT_ACCURACY_LEVEL 2,ID 3,NAME 3,MCAT_ACCURACY_LEVEL 3,ID 4,NAME 4,MCAT_ACCURACY_LEVEL 4,ID 5,NAME 5,MCAT_ACCURACY_LEVEL 5
Puma Ferrari & BMW shoes,puma ferrari & bmw shoes,Puma Ferrari & BMW shoes,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 651589   |   Puma Ferrari & BMW shoes   |   High || 129171   |   Sneaker Shoes   |   High || 182635   |   Puma Shoes   |   Medium || 185258   |   Puma Casual Shoes   |   Medium ],alfa-info: [ 651589   |   puma ferrari & bmw shoes   |   High ],mars-info: [ 651589   |   Puma Ferrari & BMW shoes   |   High ],[],[],651589,Puma Ferrari & BMW shoes,High,129171,Sneaker Shoes,Medium,182635,Puma Shoes,Medium,185258,Puma Casual Shoes,Medium,185930,Men Sneaker Shoes,Low
Plastic Egg Tray,plastic egg tray,Plastic Egg Tray,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 140750   |   Plastic Egg Tray   |   High || 179345   |   Paper Egg Tray   |   Medium || 84669   |   Egg Boxes   |   Medium ],alfa-info: [ 140750   |   plastic egg tray   |   High ],mars-info: [ 140750   |   Plastic Egg Tray   |   High ],[],[],140750,Plastic Egg Tray,High,179345,Paper Egg Tray,Medium,84669,Egg Boxes,Medium,20397,Poultry Equipment,Low,178214,Plastic Disposable Trays,Low
Fruit Syrups,fruit syrups,Fruit Syrups,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 6626   |   Fruit Syrups   |   High || 203743   |   Monin Fruit Syrups   |   Medium || 166831   |   Fruit Mocktails   |   Medium || 205541   |   Malvis Fruit Syrups   |   Medium || 212146   |   Rohinis Fruit Syrups   |   Medium ],alfa-info: [ 6626   |   fruit syrups   |   High ],mars-info: [ 6626   |   Fruit Syrups   |   High ],[],[],6626,Fruit Syrups,High,203743,Monin Fruit Syrups,High,166831,Fruit Mocktails,Medium,205541,Malvis Fruit Syrups,Medium,212146,Rohinis Fruit Syrups,Medium
Organic Rava,organic semolina,organic semolina,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 218540   |   Organic Rava   |   High || 138237   |   Semolina   |   Medium || 6247   |   Farina   |   Medium ],alfa-info: [ 138237   |   semolina   |   High || 218540   |   organic rava   |   Medium ],mars-info: [ 138237   |   Semolina   |   Low || 218540   |   Organic Rava   |   Low || 6247   |   Farina   |   Low ],[],[],218540,Organic Rava,High,138237,Semolina,High,6247,Farina,Medium,3398,Wheat Flour,Low,68958,Maida,Low
Female Viagra Tablet,female viagra tablet,Female Viagra Tablet,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 650585   |   Female Viagra Tablet   |   High || 650097   |   Viagra Tablet   |   Medium || 444899   |   Sildenafil Tablets   |   Medium || 444742   |   Erectile Dysfunction Medicine   |   Medium ],alfa-info: [ 650585   |   female viagra tablet   |   High ],mars-info: [ 650585   |   Female Viagra Tablet   |   High ],[],[],650585,Female Viagra Tablet,High,650097,Viagra Tablet,High,444899,Sildenafil Tablets,Medium,444742,Erectile Dysfunction Medicine,Medium,278128,Fildena Tablet,Low
Buffalo Meat,buffalo meat,Buffalo Meat,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 23632   |   Buffalo Meat   |   High || 6604   |   Frozen Buffalo Meat   |   High || 155487   |   Frozen Boneless Buffalo Meat   |   High || 6606   |   Frozen Meat   |   Medium ],alfa-info: [ 23632   |   buffalo meat   |   High ],mars-info: [ 23632   |   Buffalo Meat   |   High ],[],[],23632,Buffalo Meat,High,6604,Frozen Buffalo Meat,Medium,155487,Frozen Boneless Buffalo Meat,Medium,6606,Frozen Meat,Medium,177135,Buffalo Omasum,Low
empty mineral water bottle,empty mineral water bottle,empty mineral water bottle,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 43850   |   Empty Mineral Water Bottle   |   High ],alfa-info: [ 43850   |   empty mineral water bottle   |   High ],mars-info: [ 43850   |   Empty Mineral Water Bottle   |   High ],[],[],43850,Empty Mineral Water Bottle,High,5145,Mineral Water Bottle,Low,139360,Bottled Water,Low,1425,PET Bottles,Low,136575,Packaged Drinking Water,Low
Sublimation Photo Frame,sublimation photo frame,Sublimation Photo Frame,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 185042   |   Sublimation Photo Frame   |   High || 157636   |   MDF Photo Frames   |   Medium ],alfa-info: [ 185042   |   sublimation photo frame   |   High ],mars-info: [ 185042   |   Sublimation Photo Frame   |   High ],[],[],185042,Sublimation Photo Frame,High,157636,MDF Photo Frames,Medium,34275,Photo Frame,Low,96134,LED Photo Frame,Low,41373,Wooden Photo Frames,Low
Dispenser Tap,dispenser tap,Dispenser Tap,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 118965   |   Dispenser Tap   |   High || 116336   |   Water Dispenser Parts   |   Medium || 184838   |   RO TAP   |   Medium ],alfa-info: [ 118965   |   dispenser tap   |   High ],mars-info: [ 118965   |   Dispenser Tap   |   High ],[],[],118965,Dispenser Tap,High,116336,Water Dispenser Parts,Medium,184838,RO TAP,Medium,156663,PVC Water Tap,Low,135695,Plastic Water Tap,Low
AC Indoor Unit,ac indoor unit,AC Indoor Unit,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 214827   |   AC Indoor Unit   |   High || 179012   |   Carrier Split Air Conditioners   |   Medium ],alfa-info: [ 214827   |   ac indoor unit   |   High ],mars-info: [ 214827   |   AC Indoor Unit   |   High ],[],[],214827,AC Indoor Unit,High,179012,Carrier Split Air Conditioners,Medium,184878,Mitsubishi Split Air Conditioners,Low,38089,Split Air Conditioners,Low,179008,Daikin Split Air Conditioners,Low
