name,type,country,city,address,lat,lon,beds,departments,ownership,icu
Mumbai Care Hospital,general hospital,India,Mumbai,"105 Green Park Rd, Mumbai, India",19.055926,72.949814,300,dermatology || nephrology || physiotherapy,public,True
Mumbai Superspeciality Hospital,specialty hospital,India,Mumbai,"430 Church St, Mumbai, India",19.091785,72.822663,75,cardiology || orthopedics || pediatrics || physiotherapy || pulmonology || urology,public,True
Dubai Medical Center,general hospital,UAE,Dubai,"353 Temple Rd, Dubai, UAE",25.134093,55.329388,200,dental || gynecology || psychiatry,trust,True
Hisar Health Institute,specialty hospital,India,Hisar,"47 Church St, Hisar, India",29.182492,75.644994,1000,emergency || gastroenterology || gynecology || hematology || neurosurgery,private,False
Kochi Superspeciality Hospital,specialty hospital,India,Kochi,"700 MG Road, Kochi, India",9.984391,76.221274,75,dental || ent || hematology || neurosurgery || orthopedics || physiotherapy || pulmonology,trust,False
Salem Health Institute,specialty hospital,India,Salem,"235 Maple Ave, Salem, India",11.613645,78.114679,200,emergency || gastroenterology || orthopedics || pediatrics || psychiatry,trust,False
Madurai Multispeciality Hospital,teaching hospital,India,Madurai,"470 Ring Rd, Madurai, India",9.914311,78.086397,250,hematology || nephrology || neurosurgery || pediatrics || psychiatry,private,True
Montreal Multispeciality Hospital #1,general hospital,Canada,Montreal,"113 Ring Rd, Montreal, Canada",45.444219,-73.600657,100,emergency || gastroenterology || nephrology || neurosurgery || oncology || orthopedics || pediatrics || pulmonology,public,False
Paris Care Hospital,general hospital,France,Paris,"301 NH 48, Paris, France",48.849571,2.397828,75,cardiology || pediatrics || psychiatry || pulmonology,private,True
Hisar Superspeciality Hospital #2,specialty hospital,India,Hisar,"553 Hospital Rd, Hisar, India",29.151478,75.736486,25,cardiology || ophthalmology || radiology,public,False
Barcelona Superspeciality Hospital #3,teaching hospital,Spain,Barcelona,"970 MG Road, Barcelona, Spain",41.404607,2.115884,50,emergency || hematology || ophthalmology,public,False
Patna Medical College & Hospital,teaching hospital,India,Patna,"774 Sunrise Blvd, Patna, India",25.665922,85.212101,400,dermatology || gastroenterology || neurosurgery || oncology || ophthalmology || pediatrics || psychiatry || urology,public,True
Jalandhar Superspeciality Hospital,general hospital,India,Jalandhar,"725 Maple Ave, Jalandhar, India",31.294738,75.511828,250,dermatology || emergency || physiotherapy || radiology,private,True
Ludhiana City Infirmary,teaching hospital,India,Ludhiana,"591 College Rd, Ludhiana, India",30.891389,75.796803,150,gynecology || nephrology || ophthalmology || orthopedics,public,True
Guwahati General Hospital,teaching hospital,India,Guwahati,"101 Maple Ave, Guwahati, India",26.070002,91.801691,75,dental || gynecology || neurosurgery || orthopedics || pediatrics || radiology,private,True
Visakhapatnam Medical Center,teaching hospital,India,Visakhapatnam,"564 Station Rd, Visakhapatnam, India",17.712804,83.188374,200,cardiology || dental || emergency,trust,False
Jammu Multispeciality Hospital,general hospital,India,Jammu,"61 Lakeview Ave, Jammu, India",32.734074,74.806577,1000,cardiology || gastroenterology || hematology || orthopedics || pediatrics || psychiatry,private,True
Paris City Infirmary #4,general hospital,France,Paris,"60 Green Park Rd, Paris, France",48.900621,2.42252,500,dental || dermatology || radiology,private,True
Toronto Medical Center,general hospital,Canada,Toronto,"70 Church St, Toronto, Canada",43.668864,-79.3157,50,dermatology || emergency || gynecology || neurosurgery || orthopedics || radiology,private,False
Frankfurt Health Institute,general hospital,Germany,Frankfurt,"688 High St, Frankfurt, Germany",50.062257,8.609336,100,cardiology || emergency || oncology || ophthalmology || psychiatry || radiology,trust,True
