SEARCH KEYWORD,MODIFIED KEYWORD,QCR KEYWORD,ATTRIBUTE EXTRACTION FLAG,SOLR EXECUTION,SOLR STATUS,ALFA EXECUTION,ALFA STATUS,MARS EXECUTION,MARS STATUS,OMNIMARS EXECUTION,OMNIMARS STATUS,CHATGPT EXECUTION,CHATGPT STATUS,MERI EXECUTION,MERI STATUS,ENSEMBLE RUN,SOLR_INFO,ALFA_INFO,MARS_INFO,OMNIMARS_INFO,CHATGPT_INFO,MERI_INFO,ID 1,NAME 1,MCAT_ACCURACY_LEVEL 1,ID 2,NAME 2,MCAT_ACCURACY_LEVEL 2,ID 3,NAME 3,MCAT_ACCURACY_LEVEL 3,ID 4,NAME 4,MCAT_ACCURACY_LEVEL 4,ID 5,NAME 5,MCAT_ACCURACY_LEVEL 5
cups,cups,cups,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 136080   |   Printed Paper Cup   |   High || 179602   |   Dona Cups   |   High || 84273   |   Paper Coffee Cup   |   High || 87617   |   Paper Ice Cream Cup   |   High || 5717   |   Paper Cups   |   Medium || 2978   |   Tea Cups   |   Medium || 16588   |   Plastic Cup   |   Medium || 3909   |   Coffee Cups   |   Medium || 142192   |   Printed Cups   |   Medium || 2198   |   Bra Cups   |   Medium || 7736   |   Sports Cup   |   Medium || 215345   |   Plastic Ice Cream Cups   |   Medium || 188813   |   Menstrual Cup   |   Medium || 2575   |   Trophies   |   Medium || 186731   |   Paper Tea Cup   |   Medium || 11645   |   Disposable Cups   |   Medium || 30768   |   Ice Cream Cup   |   Medium || 178213   |   Eco Friendly Disposable Paper Cup   |   Medium || 118123   |   Ripple Paper Cup   |   Medium || 186241   |   Plastic Disposable Cup   |   Medium || 650167   |   Plain Paper Cup   |   Medium || 84263   |   Cold Drink Paper Cup   |   Medium || 84269   |   Double Wall Paper Cup   |   Medium || 650187   |   Paper Juice Cup   |   Medium || 147309   |   Thermocol Glasses   |   Medium || 176223   |   Sambrani Cup   |   Medium || 39246   |   Suction Cups   |   Medium || 167517   |   Cupping Set   |   Medium ||  ],alfa-info: [ 3909   |   coffee cups   |   Medium || 5717   |   paper cups   |   Medium ||  ],mars-info: [ 2978   |   tea cups   |   Low || 11645   |   disposable cups   |   Low || 85826   |   water cup   |   Low ||  ],[],[],[],3909,Coffee Cups,Medium,2978,Tea Cups,Medium,136080,Printed Paper Cup,Medium,5717,Paper Cups,Medium,11645,Disposable Cups,Medium
weight scale,weight scale,weight scale,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 22512   |   Balancing Scales   |   High || 183555   |   Height Weight Machine   |   High || 3380   |   Weighing Scale   |   Medium || 190303   |   Brass Balance Scale   |   Medium || 3379   |   Weighing Balances   |   Medium || 74282   |   Industrial Weighing Scale   |   Medium || 22539   |   Bathroom Scale   |   Medium || 24794   |   Checkweighing Scales   |   Medium || 40352   |   Truck Scales   |   Medium || 7815   |   Stainless Steel Scales   |   Medium ||  ],alfa-info: [ 37127   |   scale weights   |   High || 3380   |   weighing scale   |   High || 6886   |   electronic weighing scales   |   Medium ||  ],mars-info: [ 37127   |   scale weights   |   High || 3380   |   weighing scale   |   Low || 183555   |   height weight machine   |   Low ||  ],[],[],[],22512,Balancing Scales,High,37127,Scale Weights,High,3380,Weighing Scale,Medium,183555,Height Weight Machine,Medium,6886,Electronic Weighing Scales,Medium
steel fabrication service,steel fabrication service,steel fabrication service,0,true,timeout,true,success,true,success,false,false,false,false,false,false,True,solr-info: [  ],alfa-info: [ 168716   |   heavy steel fabrication service   |   High || 38710   |   steel fabrication   |   High || 28191   |   fabrication works   |   Medium || 7793   |   stainless steel fabricators   |   Medium ||  ],mars-info: [ 38710   |   steel fabrication   |   Low || 168716   |   heavy steel fabrication service   |   Low || 168534   |   steel sheds fabrication services   |   Low ||  ],[],[],[],38710,Steel Fabrication,Medium,168716,Heavy Steel Fabrication Service,Medium,28191,Fabrication Works,Medium,168534,Steel Sheds Fabrication Services,Medium,7793,Stainless Steel Fabricators,Medium
mild steel fabrication service,mild steel fabrication service,mild steel fabrication service,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 171651   |   MS Structural Fabrication Services   |   High || 33548   |   Mild Steel Fabrication   |   High || 28191   |   Fabrication Works   |   Medium || 10995   |   Industrial Fabrication   |   Medium ||  ],alfa-info: [ 33548   |   mild steel fabrication   |   High || 171916   |   industrial shed fabrication   |   Medium ||  ],mars-info: [ 33548   |   mild steel fabrication   |   High || 171651   |   ms structural fabrication services   |   Low || 168716   |   heavy steel fabrication service   |   Low ||  ],[],[],[],33548,Mild Steel Fabrication,High,171651,MS Structural Fabrication Services,Medium,171916,Industrial Shed Fabrication,Medium,28191,Fabrication Works,Medium,168716,Heavy Steel Fabrication Service,Medium
computer science and engineering course,computer science and engineering course,computer science and engineering course,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 173594   |   Computer Science & Engineering   |   High || 170096   |   Computer Engineering Courses   |   High || 173792   |   Engineering Education Services   |   Medium ||  ],alfa-info: [ 170096   |   computer engineering courses   |   High || 173594   |   computer science & engineering   |   High ||  ],mars-info: [ 170096   |   computer engineering courses   |   Medium || 173594   |   computer science & engineering   |   Low || 175635   |   computer science diploma   |   Low ||  ],[],[],[],170096,Computer Engineering Courses,High,173594,Computer Science & Engineering,Medium,173792,Engineering Education Services,Medium,175635,Computer Science Diploma,Medium,40138,Training Institutes,Low
sweet potato,sweet potato,sweet potato,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 39164   |   Sweet Potatoes   |   High || 191640   |   Boiled Sweet Potato   |   High || 114136   |   Potato   |   Medium ||  ],alfa-info: [ 39164   |   sweet potatoes   |   High ||  ],mars-info: [ 39164   |   sweet potatoes   |   High || 7229   |   potato chips   |   Low || 114136   |   potato   |   Low ||  ],[],[],[],39164,Sweet Potatoes,High,191640,Boiled Sweet Potato,High,7229,Potato Chips,Medium,114136,Potato,Medium,962,Fresh Vegetables,Low
sanitiser,sanitiser,sanitiser,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 443580   |   Alcohol Based Hand Sanitizer   |   High || 2309   |   Hand Sanitizer & Disinfectant   |   Medium || 444459   |   Commercial Hand Sanitizer   |   Medium || 443585   |   Pocket Hand Sanitizer   |   Medium || 355639   |   Dettol Hand Sanitizer   |   Medium || 443583   |   Lifebuoy Hand Sanitizer   |   Medium || 355650   |   Himalaya Hand Sanitizer   |   Medium || 444026   |   Savlon Sanitizer   |   Medium || 444039   |   3M Hand Sanitizer   |   Medium || 443584   |   Purell Hand Sanitizer   |   Medium || 444194   |   Godrej Hand Sanitizer   |   Medium || 444200   |   Zuci Hand Sanitizer   |   Medium || 444340   |   Palmolive Hand Sanitizer   |   Medium || 444206   |   Kronokare Hand Sanitizer   |   Medium ||  ],alfa-info: [ 2309   |   hand sanitizer & disinfectant   |   High || 444459   |   commercial hand sanitizer   |   Medium || 443580   |   alcohol based hand sanitizer   |   Medium ||  ],mars-info: [ 2309   |   hand sanitizer & disinfectant   |   High || 443580   |   alcohol based hand sanitizer   |   Low || 444459   |   commercial hand sanitizer   |   Low ||  ],[],[],[],2309,Hand Sanitizer & Disinfectant,High,443580,Alcohol Based Hand Sanitizer,Medium,444459,Commercial Hand Sanitizer,Medium,355639,Dettol Hand Sanitizer,Medium,444194,Godrej Hand Sanitizer,Medium
toyota innova,toyota innova,toyota innova,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 655531   |   Toyota Innova   |   High || 190028   |   Cars   |   High || 209088   |   Toyota Innova Rental   |   Medium ||  ],alfa-info: [ 209088   |   toyota innova rental   |   High || 33324   |   motor cars   |   Medium || 157692   |   car repair services   |   Medium || 23388   |   car rental   |   Medium ||  ],mars-info: [ 209088   |   toyota innova rental   |   High || 192695   |   toyota car   |   Low || 189388   |   toyota used cars   |   Low ||  ],[],[],[],655531,Toyota Innova,High,209088,Toyota Innova Rental,High,190028,Cars,Medium,33324,Motor Cars,Medium,192695,Toyota Car,Medium
old one rupee coin,old one rupee coin,old one rupee coin,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [  ],alfa-info: [ 227466   |   antique silver coin   |   High ||  ],mars-info: [ 227466   |   antique silver coin   |   High || 28800   |   gold coins   |   Low || 191456   |   mahatma gandhi statue   |   Low ||  ],[],[],[],227466,Antique Silver Coin,High,28800,Gold Coins,Medium,191456,Mahatma Gandhi Statue,Medium,55140,Collectible Coin,Low,9416,Silver Coins,Low
lathe job work,lathe job work,lathe job work,0,true,success,true,success,true,success,false,false,false,false,false,false,True,solr-info: [ 174355   |   Vertical Lathe Job Work   |   High || 175381   |   CNC Lathe Machining Services   |   High || 176055   |   Heavy Duty Lathe Job Work   |   High || 136562   |   Lathe Work   |   Medium || 56225   |   Machining Job Work   |   Medium ||  ],alfa-info: [ 136562   |   lathe work   |   High || 174355   |   vertical lathe job work   |   High || 175381   |   cnc lathe machining services   |   Medium ||  ],mars-info: [ 136562   |   lathe work   |   High || 176055   |   heavy duty lathe job work   |   Low || 168671   |   turning job works   |   Low ||  ],[],[],[],136562,Lathe Work,High,174355,Vertical Lathe Job Work,High,175381,CNC Lathe Machining Services,Medium,176055,Heavy Duty Lathe Job Work,Medium,168671,Turning Job Works,Medium
